City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
42,kattivakkam,13.2167,80.3167,86.08999999999997,59,6,5.37,IN,1669704964
43,klaksvik,62.2266,-6.589,43.71800000000002,84,7,3.49,FO,1669704964
44,chuy,-33.6971,-53.4616,64.76000000000005,94,4,3.68,UY,1669704965
45,aklavik,68.2191,-135.0107,-22.954000000000008,94,83,3.11,CA,1669704965
46,salalah,17.0151,54.0924,85.17199999999997,34,0,2.62,OM,1669704966
47,saskylakh,71.9167,114.0833,-0.004000000000019099,97,100,4.04,RU,1669704966
48,luganville,-15.5333,167.1667,82.02199999999999,77,54,3.35,VU,1669704966
49,jamestown,42.097,-79.2353,36.71599999999995,86,100,1.34,US,1669704901
50,johnson city,36.3134,-82.3535,48.16399999999999,72,0,2.06,US,1669704967
51,provideniya,64.3833,-173.3,19.652000000000044,84,100,4.14,RU,1669704968
52,nelson bay,-32.7167,152.15,70.08800000000002,68,0,6.71,AU,1669704832
53,kapaa,22.0752,-159.319,75.18199999999996,97,100,2.61,US,1669704968
54,semnan,35.5729,53.3971,55.07600000000008,45,9,1.0,IR,1669704969
55,bredasdorp,-34.5322,20.0403,80.27600000000001,44,81,0.59,ZA,1669704969
56,port alfred,-33.5906,26.891,71.18599999999998,75,2,2.24,ZA,1669704970
57,nueva loja,0.0847,-76.8828,71.32999999999998,89,100,0.45,EC,1669704970
58,qaanaaq,77.484,-69.3632,-12.837999999999965,91,95,2.84,GL,1669704970
59,san cristobal,7.7669,-72.225,63.84199999999993,97,99,1.71,VE,1669704971
60,guerrero negro,27.9769,-114.0611,60.33199999999994,78,0,4.06,MX,1669704933
61,broken hill,-31.95,141.4333,74.57,26,0,6.43,AU,1669704971
62,fortuna,40.5982,-124.1573,38.31800000000004,94,0,1.54,US,1669704972
63,xixiang,35.1628,112.865,43.77199999999999,21,98,2.82,CN,1669704972
64,pevek,69.7008,170.3133,18.680000000000007,80,100,6.98,RU,1669704973
65,shingu,33.7333,135.9833,67.94599999999997,95,100,7.03,JP,1669704973
66,salina,38.8403,-97.6114,51.313999999999965,87,100,0.89,US,1669704945
67,vilhena,-12.7406,-60.1458,68.05400000000003,73,72,1.66,BR,1669704974
68,new norfolk,-42.7826,147.0587,64.92199999999997,42,4,2.24,AU,1669704974
